Name,USDOT,Priority,Complies,TRUCRS ID,CA_Number,safer_legal_name,safer_phone,safer_address,safer_emails,safer_url,Google_Search,note
Southwest Construction Company Inc.,59770.0,1.0,TB,1720,2584464,,,,,,https://www.google.com/search?q=Southwest+Construction+Company+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
INQUIPCO,347085.0,1.0,TB,2025,,,,,,,https://www.google.com/search?q=INQUIPCO+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Lassen Forest Products Inc.,29914.0,1.0,TB,3051,472923,,,,,,https://www.google.com/search?q=Lassen+Forest+Products+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
WENDT CONSTRUCTION CO INC,50465.0,1.0,TB,3292,1657120,,,,,,https://www.google.com/search?q=WENDT+CONSTRUCTION+CO+INC+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Mendocino Forest Products Company, LLC",599472.0,1.0,TB,3592,763868,,,,,,https://www.google.com/search?q=Mendocino+Forest+Products+Company+LLC+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Yandell Truckaway Inc.,18445.0,1.0,TB,8244,30503,,,,,,https://www.google.com/search?q=Yandell+Truckaway+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Sundance Stage Lines, Inc",184090.0,1.0,TB,9789,,,,,,,https://www.google.com/search?q=Sundance+Stage+Lines+Inc+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Steve Wills Trucking & Logging, LLC.",256813.0,1.0,TB,9795,1444560,,,,,,https://www.google.com/search?q=Steve+Wills+Trucking+&+Logging+LLC.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Apex Fence Co., Inc.",51968.0,1.0,TB,9801,549939,,,,,,https://www.google.com/search?q=Apex+Fence+Co.+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Timberland Logging,199331.0,1.0,TB,9821,253030,,,,,,https://www.google.com/search?q=Timberland+Logging+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Siskiyou Transportation, Inc.",39920.0,1.0,TB,9822,17189,,,,,,https://www.google.com/search?q=Siskiyou+Transportation+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Rockview Farms,48850.0,1.0,TB,9840,776013,,,,,,https://www.google.com/search?q=Rockview+Farms+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Crane Mills Truck Shop,40859.0,1.0,TB,9845,716497,,,,,,https://www.google.com/search?q=Crane+Mills+Truck+Shop+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Superior Cattle Feeders, LLC",1248591.0,1.0,TB,9878,216358,,,,,,https://www.google.com/search?q=Superior+Cattle+Feeders+LLC+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Redwood Empire Vineyard Management, Inc.",1181138.0,1.0,TB,9936,54112,,,,,,https://www.google.com/search?q=Redwood+Empire+Vineyard+Management+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Sunview Vineyards of California, Inc.",198624.0,1.0,TB,10072,,,,,,,https://www.google.com/search?q=Sunview+Vineyards+of+California+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Fetzer Vineyards,27607.0,1.0,TB,10174,1057195,,,,,,https://www.google.com/search?q=Fetzer+Vineyards+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Chuck Villar Construction Inc,76205.0,1.0,TB,10181,422575,,,,,,https://www.google.com/search?q=Chuck+Villar+Construction+Inc+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Chambers Logging Co., Inc.",24903.0,1.0,TB,10187,821580,,,,,,https://www.google.com/search?q=Chambers+Logging+Co.+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Menezes Hay Company,34011.0,1.0,TB,10189,302713,,,,,,https://www.google.com/search?q=Menezes+Hay+Company+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
American Honey,64616.0,1.0,TB,10208,200204,,,,,,https://www.google.com/search?q=American+Honey+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"JS JOHAL & SONS, INC.",56357.0,1.0,TB,10266,1933349,,,,,,https://www.google.com/search?q=JS+JOHAL+&+SONS+INC.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Milanesio Farms Inc,62984.0,1.0,TB,10347,1733845,,,,,,https://www.google.com/search?q=Milanesio+Farms+Inc+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
"Bill Nason Trucking, Inc.",942924.0,1.0,TB,10395,14553,,,,,,https://www.google.com/search?q=Bill+Nason+Trucking+Inc.+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Moiola Brothers Cattle Feeders LTD,4108276.0,1.0,TB,10402,,,,,,,https://www.google.com/search?q=Moiola+Brothers+Cattle+Feeders+LTD+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
D&J Packing,66598.0,1.0,TB,10405,1583823,,,,,,https://www.google.com/search?q=D&J+Packing+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
GLENN K NILMEIER TRUCKING,448753.0,1.0,TB,10421,26163,,,,,,https://www.google.com/search?q=GLENN+K+NILMEIER+TRUCKING+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Material Transport Services,2815.0,1.0,TB,10424,1745562,,,,,,https://www.google.com/search?q=Material+Transport+Services+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Headstart Nursery Inc,814232.0,1.0,TB,10461,,,,,,,https://www.google.com/search?q=Headstart+Nursery+Inc+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
Browns Northstate Resources,398433.0,1.0,TB,10531,2352675,,,,,,https://www.google.com/search?q=Browns+Northstate+Resources+trucking+California+address+phone,No public email on most fleets — call SAFER phone or use Google Business
