email,company,city,phone,website,metro,notes
,Chevron West (Tow Truck Equipment),Sacramento,(916) 371-7188,,Sacramento,from CLEAN; channel=phone_only
,EB Towing,Oakland,(510) 992-4030,,Bay,from CLEAN; channel=phone_only
,Tow Doctors,Oakland,(510) 575-3677,,Bay,from CLEAN; channel=phone_only
,Emergency Towing,Oakland,(510) 534-5190,,Bay,from CLEAN; channel=phone_only
,Rocket Towing,Oakland,(510) 228-0842,,Bay,from CLEAN; channel=phone_only
,V&U Towing,Oakland,(510) 206-3085,,Bay,from CLEAN; channel=phone_only
,Micki's Towing,Oakland,(510) 436-6300,,Bay,from CLEAN; channel=phone_only
,Andy's Towing,Oakland,(510) 995-0052,,Bay,from CLEAN; channel=phone_only
,Auto Plus Towing,Oakland,(510) 261-8199,,Bay,from CLEAN; channel=phone_only
,Affordable Towing,Oakland,(510) 394-7879,,Bay,from CLEAN; channel=phone_only
,ZR Towing,Oakland,(510) 502-5568,,Bay,from CLEAN; channel=phone_only
,Economy Towing,Milpitas,(408) 923-6212,,San Jose,from CLEAN; channel=phone_only
,Town Business Towing,Oakland,(510) 990-1652,,Bay,from CLEAN; channel=phone_only
,Towing Guyz,Fremont,(510) 680-2111,,Bay,from CLEAN; channel=phone_only
,10-4 Tow Hayward,Hayward,(510) 690-8880,,Bay,from CLEAN; channel=phone_only
,Elite Tow,Hayward,(510) 330-5555,,Bay,from CLEAN; channel=phone_only
,Silverline Towing,Hayward,(510) 500-5665,,Bay,from CLEAN; channel=phone_only
,All Brauns Towing,Hayward,(866) 408-8093,,Bay,from CLEAN; channel=phone_only
,All Day Towing Inc,Hayward,(510) 471-2500,,Bay,from CLEAN; channel=phone_only
,Affordable Towing & Roadside,Hayward,(510) 826-2504,,Bay,from CLEAN; channel=phone_only
,Fast & Easy Towing,Hayward,(510) 887-1000,,Bay,from CLEAN; channel=phone_only
,Allied Towing & Transport,Hayward,(510) 575-0000,,Bay,from CLEAN; channel=phone_only
,A9 Towing Co,Hayward,(510) 200-9900,,Bay,from CLEAN; channel=phone_only
,10-4 Tow San Leandro,San Leandro,(510) 633-2727,,Bay,from CLEAN; channel=phone_only
,10-4 Tow Fremont,Fremont,(510) 399-4060,,Bay,from CLEAN; channel=phone_only
